ID	Crop_Id_DW	CropName	CropRasterFileName	Crop_kc_ini	Crop_kc_md	Crop_kc_end	Crop_Initial_Duration	Crop_Dev_Duration	Crop_midStage_duration	Crop_latStag_Duration	Crop_RootingDepth	Crop_DepleationFactor
22	1	Barley	"xxxx"	0.66667	1.15	0.25	15	30	40	20	1.25	0.55
23	2	Maize	"xxxx"	0.3	1.2	0.6	25	30	40	30	1.1	0.55
24	3	Millet	"xxxx"	0.3	1	0.3	15	27	40	27	1.5	0.55
25	4	Rice	"xxxx"	1.05	1.2	0.8	30	30	30	30	0.75	0.2
26	5	Rye	"xxxx"	0.95	1.05	1	20	30	60	40	0.8	0.6
27	6	Sorghum	"xxxx"	0.3	1.05	0.8	20	35	45	30	1.5	0.55
28	7	Wheat	"xxxx"	0.5	1.15	0.3	20	25	60	30	1.5	0.55
29	8	Cassava	"xxxx"	0.3	0.9	0.3	20	40	90	60	0.7	0.35
30	9	Potato	"xxxx"	0.5	1.15	0.75	25	30	45	30	0.5	0.35
31	10	Sugarbeet	"xxxx"	0.35	1.2	0.7	30	45	90	15	0.9	0.55
32	11	Sugarcane	"xxxx"	0.4	1.25	0.75	25	70	135	50	1.5	0.65
33	12	Pulse	"xxxx"	0.4	1.15	0.55	20	30	40	20	0.8	0.45
34	13	Soybean	"xxxx"	0.4	1.15	0.5	20	30	60	25	0.8	0.5
35	14	Groundnut	"xxxx"	0.4	1.15	0.6	25	35	45	25	0.7	0.5
36	15	Rapeseed	"xxxx"	0.35	1.07	0.35	20	40	50	30	1.25	0.6
37	16	Sunflower	"xxxx"	0.35	1.07	0.35	25	35	45	25	1.21	0.45
38	17	Oilpalm	"xxxx"	0.35	1.15	0.35	20	40	50	30	1.5	0.5
39	18	Cotton	"xxxx"	0.35	1.17	0.6	30	50	60	55	1.35	0.65
40	19	Other	"xxxx"	0.6	1.05	0.6	20	40	50	30	1	0.6
